owner,name,full_name,stargazer_count,fork_count,language,total_releases,avg_release_interval_days,release_type,collaborator_count,sonarqube_analyzed,sonarqube_analyzed_at,bugs,vulnerabilities,code_smells,sqale_index,coverage,duplicated_lines_density,ncloc,complexity,cognitive_complexity,reliability_rating,security_rating,sqale_rating,alert_status
openai,openai-agents-python,openai/openai-agents-python,17326,2857,Python,40,6.0,rapid,18100,True,2025-11-17T12:26:16.941216,52,5,503,4118,0.0,7.5,50080,6077,5286,3.0,5.0,1.0,OK
nodemailer,nodemailer,nodemailer/nodemailer,17324,1407,JavaScript,25,32.0,rapid,16200,True,2025-11-17T12:25:57.354737,13,0,786,7008,0.0,23.5,20401,3969,2835,4.0,1.0,1.0,OK
mswjs,msw,mswjs/msw,17310,568,TypeScript,243,5.0,rapid,17300,True,2025-11-17T12:27:57.754257,40,1,342,1529,0.0,9.2,27201,3939,648,3.0,4.0,1.0,OK
justauth,JustAuth,justauth/JustAuth,17274,2837,Java,47,16.0,rapid,4400,False,,,,,,,,,,,,,,
ginuerzh,gost,ginuerzh/gost,17272,2617,Go,42,22.0,rapid,4400,True,2025-11-17T12:25:19.778606,0,8,198,2918,0.0,12.7,23506,4224,4600,1.0,5.0,1.0,OK
verdaccio,verdaccio,verdaccio/verdaccio,17264,1433,TypeScript,374,8.0,rapid,33400,False,,,,,,,,,,,,,,
Atmosphere-NX,Atmosphere,Atmosphere-NX/Atmosphere,17258,1342,C++,86,19.0,rapid,7900,True,2025-11-17T12:28:15.977990,8,0,79,606,0.0,0.3,1817,399,579,5.0,1.0,1.0,OK
bluesky-social,social-app,bluesky-social/social-app,17197,2494,TypeScript,45,11.0,rapid,28200,False,,,,,,,,,,,,,,
openobserve,openobserve,openobserve/openobserve,17182,691,Rust,137,5.0,rapid,9500,False,,,,,,,,,,,,,,
bytecodealliance,wasmtime,bytecodealliance/wasmtime,17176,1554,Rust,153,14.0,rapid,69200,False,,,,,,,,,,,,,,
facebook,fresco,facebook/fresco,17150,3757,Java,55,35.0,rapid,54200,False,,,,,,,,,,,,,,
MarlinFirmware,Marlin,MarlinFirmware/Marlin,17138,19586,C++,77,21.0,rapid,129900,True,2025-11-17T12:31:00.192366,22,0,578,4202,0.0,2.7,7259,1711,2869,5.0,1.0,1.0,OK
fastapi,sqlmodel,fastapi/sqlmodel,17131,783,Python,26,34.0,rapid,9700,True,2025-11-17T12:30:05.909992,1,0,457,1661,0.0,77.8,35776,2050,753,3.0,1.0,1.0,OK
dotnet,runtime,dotnet/runtime,17127,5221,C#,149,17.0,rapid,327300,False,,,,,,,,,,,,,,
rqlite,rqlite,rqlite/rqlite,17087,754,Go,306,6.0,rapid,5300,True,2025-11-17T12:30:54.429128,2,7,1913,17177,0.0,11.0,80477,12784,12856,5.0,5.0,1.0,OK
lottie-react-native,lottie-react-native,lottie-react-native/lottie-react-native,17061,1810,Kotlin,53,18.5,rapid,16400,True,2025-11-17T12:31:20.407586,0,0,32,221,0.0,0.0,1967,254,135,1.0,1.0,1.0,OK
less,less.js,less/less.js,17049,3397,JavaScript,41,27.0,rapid,29400,False,,,,,,,,,,,,,,
