owner,name,stars,forks,language,release_count,contributors,median_release_interval,release_type,reason
esimov,caire,10453,385,Go,23,1400,77,SLOW,77 dias (mediana) entre releases
gui-cs,Terminal.Gui,10445,729,C#,29,11500,51.0,SLOW,51.0 dias (mediana) entre releases
resilience4j,resilience4j,10436,1429,Java,35,24700,64,SLOW,64 dias (mediana) entre releases
SpecterOps,BloodHound-Legacy,10418,1785,PowerShell,36,7200,56,SLOW,56 dias (mediana) entre releases
nodejs,node-gyp,10405,1862,Python,28,26800,53.0,SLOW,53.0 dias (mediana) entre releases
jquery-validation,jquery-validation,10353,2754,JavaScript,27,24200,174.0,SLOW,174.0 dias (mediana) entre releases
benoitc,gunicorn,10329,1809,Python,31,43100,59.5,SLOW,59.5 dias (mediana) entre releases
reasonml,reason,10287,431,OCaml,32,14200,71.0,SLOW,71.0 dias (mediana) entre releases
colmap,colmap,10274,1832,C++,31,15400,78,SLOW,78 dias (mediana) entre releases
rr-debugger,rr,10223,641,C++,22,21300,132,SLOW,132 dias (mediana) entre releases
LuckyPennySoftware,AutoMapper,10192,2385,C#,47,19500,82,SLOW,82 dias (mediana) entre releases
baldurk,renderdoc,10165,1479,C++,60,29900,62.0,SLOW,62.0 dias (mediana) entre releases
vega,altair,10107,827,Python,36,18200,61.5,SLOW,61.5 dias (mediana) entre releases
tweenjs,tween.js,10077,1424,TypeScript,31,9000,111,SLOW,111 dias (mediana) entre releases
swiftlang,swift-package-manager,10034,1427,Swift,21,47100,74.0,SLOW,74.0 dias (mediana) entre releases
EpistasisLab,tpot,10018,1579,Jupyter Notebook,32,900,58,SLOW,58 dias (mediana) entre releases
Tencent,xLua,9913,2500,C,22,6600,87,SLOW,87 dias (mediana) entre releases
hackmdio,codimd,9872,1114,JavaScript,41,19300,54.0,SLOW,54.0 dias (mediana) entre releases
go-swagger,go-swagger,9872,1292,Go,57,36100,52.0,SLOW,52.0 dias (mediana) entre releases
google,benchmark,9826,1712,C++,29,34700,60.0,SLOW,60.0 dias (mediana) entre releases
Syllo,nvtop,9784,345,C,21,6300,64.0,SLOW,64.0 dias (mediana) entre releases
OpenFeign,feign,9762,1948,Java,39,31300,53.5,SLOW,53.5 dias (mediana) entre releases
sindresorhus,pageres,9742,734,TypeScript,40,3400,57,SLOW,57 dias (mediana) entre releases
lib,pq,9698,936,Go,20,14100,66.5,SLOW,66.5 dias (mediana) entre releases
jiaaro,pydub,9638,1125,Python,31,9400,68.5,SLOW,68.5 dias (mediana) entre releases
pwndbg,pwndbg,9605,1117,Python,23,28900,131.5,SLOW,131.5 dias (mediana) entre releases
pycaret,pycaret,9602,1847,Jupyter Notebook,29,14100,54.0,SLOW,54.0 dias (mediana) entre releases
yzhao062,pyod,9579,1455,Python,43,6300,54.5,SLOW,54.5 dias (mediana) entre releases
s3fs-fuse,s3fs-fuse,9530,1066,C++,22,13100,207.5,SLOW,207.5 dias (mediana) entre releases
Studio3T,robomongo,9367,816,C++,21,4000,57.0,SLOW,57.0 dias (mediana) entre releases
taojy123,KeymouseGo,9313,1259,Python,20,1100,53.0,SLOW,53.0 dias (mediana) entre releases
projectstorm,react-diagrams,9293,1204,TypeScript,34,9500,173.0,SLOW,173.0 dias (mediana) entre releases
