owner,name,full_name,stargazer_count,fork_count,language,total_releases,avg_release_interval_days,release_type,collaborator_count,sonarqube_analyzed,sonarqube_analyzed_at,bugs,vulnerabilities,code_smells,sqale_index,coverage,duplicated_lines_density,ncloc,complexity,cognitive_complexity,reliability_rating,security_rating,sqale_rating,alert_status
fatih,vim-go,fatih/vim-go,16204,1430,Vim Script,44,59.0,slow,39000,True,2025-11-16T17:47:16.827814,0,0,24,463,0.0,2.6,2284,605,690,1.0,1.0,1.0,OK
mattboldt,typed.js,mattboldt/typed.js,16195,1772,JavaScript,24,54.0,slow,4200,True,2025-11-16T17:47:38.298266,71,0,220,1221,0.0,29.5,8967,285,284,4.0,1.0,1.0,OK
flarum,flarum,flarum/flarum,16087,1666,PHP,27,115.0,slow,3200,True,2025-11-16T17:47:29.772337,2,0,1,5,0.0,0.0,39,0,0,2.0,1.0,1.0,OK
fail2ban,fail2ban,fail2ban/fail2ban,15967,1409,Python,29,128.0,slow,28900,True,2025-11-16T17:48:19.915957,10,12,1729,10477,0.0,0.1,24076,4984,6557,5.0,4.0,1.0,OK
adobe-fonts,source-han-sans,adobe-fonts/source-han-sans,15935,1364,Python,20,155.0,slow,500,False,,,,,,,,,,,,,,
MaterialDesignInXAML,MaterialDesignInXamlToolkit,MaterialDesignInXAML/MaterialDesignInXamlToolkit,15893,3487,C#,44,70.0,slow,21100,True,2025-11-16T17:48:59.010872,0,0,138,384,0.0,2.0,3552,63,18,1.0,1.0,1.0,OK
janeczku,calibre-web,janeczku/calibre-web,15877,1671,Fluent,25,80.0,slow,29100,True,2025-11-16T17:49:49.395700,249,0,7406,44016,0.0,1.4,118178,18109,20616,5.0,1.0,1.0,OK
tc39,ecma262,tc39/ecma262,15535,1373,HTML,28,76.5,slow,20100,True,2025-11-16T17:49:14.430014,80,0,32,252,0.0,1.7,51159,100,46,4.0,1.0,1.0,OK
davatorium,rofi,davatorium/rofi,15335,661,C,43,52.0,slow,18000,True,2025-11-16T17:49:08.533742,0,0,0,0,0.0,0.0,570,0,0,1.0,1.0,1.0,OK
go-sql-driver,mysql,go-sql-driver/mysql,15272,2334,Go,22,128.0,slow,16600,True,2025-11-16T17:49:45.628345,0,0,118,1988,0.0,7.3,10767,2142,2911,1.0,1.0,1.0,OK
jpillora,chisel,jpillora/chisel,15244,1542,Go,33,57.0,slow,4100,True,2025-11-16T17:49:56.296362,0,0,27,193,0.0,0.8,4167,695,642,1.0,1.0,1.0,OK
lsd-rs,lsd,lsd-rs/lsd,15063,469,Rust,31,71.0,slow,18000,True,2025-11-16T17:50:00.936943,0,0,8,48,0.0,1.3,11478,1557,677,1.0,1.0,1.0,OK
polybar,polybar,polybar/polybar,15022,720,C++,24,83.0,slow,17300,True,2025-11-16T17:50:45.057866,0,0,2,10,0.0,0.0,204,24,29,1.0,1.0,1.0,OK
apprenticeharper,DeDRM_tools,apprenticeharper/DeDRM_tools,14982,1581,Python,81,52.0,slow,7100,True,2025-11-16T17:50:55.680323,24,16,1443,8222,0.0,25.1,18783,4258,5850,5.0,4.0,1.0,OK
